Areaname;Obama vote percent, 2008 (n);Population, 2013 estimate / Land area in square miles, 2010 (n);Population, percent change - April 1, 2010 to July 1, 2013 (n);Persons 65 years and over, percent, 2013 (n);Female persons, percent, 2013 (n);White alone, percent, 2013 (n);Black or African American alone, percent, 2013 (n);American Indian and Alaska Native alone, percent, 2013 (n);Asian alone, percent, 2013 (n);Native Hawaiian and Other Pacific Islander alone, percent, 2013 (n);Hispanic or Latino, percent, 2013 (n);White alone, not Hispanic or Latino, percent, 2013 (n);Language other than English spoken at home, pct age 5+, 2008-2012 (n);Bachelor's degree or higher, percent of persons age 25+, 2008-2012 (n);Median household income, 2008-2012 (n);Persons below poverty level, percent, 2008-2012 (n)
Sumter, AL;2.4229685263941394;-0.14165865905508193;-1.0113520999771102;-0.2878274387640919;2.121490336900256;-3.6758743661947215;4.453171042740538;-0.2798254157518403;-0.35414596451487873;-0.12409134446983397;-0.5851889669584028;-2.6440497322304872;-0.6878896225388692;-0.4772413205433917;-1.932051441582167;3.387751889356434
Talladega, AL;-0.08718149823155902;-0.08796498413675233;-0.5776859910166767;-0.33353025982277357;0.607841861641804;-1.2156347081563348;1.6007107250381607;-0.24044285791071388;-0.35414596451487873;-0.12409134446983397;-0.49561515576602017;-0.6849146036666675;-0.6009840399502501;-0.819470908901542;-0.8770017769953272;1.0260563834792518
Tallapoosa, AL;-0.7309951933084671;-0.11758455193387579;-0.4228052378165219;0.4205662876454703;0.6968800072452435;-0.8835023543211522;1.2406914616388318;-0.24044285791071388;-0.31666218723014183;-0.12409134446983397;-0.47322170296792454;-0.4230250749126348;-0.5488406903970786;-0.45442601465284843;-0.5910945793750922;0.49778238874356656
Tuscaloosa, AL;0.006858704420124501;-0.0643733733609284;0.8781930890647787;-1.3161409125844243;0.7413990800469632;-1.154128716705375;1.4899355670691368;-0.2535703771910893;0.020691808332490715;-0.01810789455986609;-0.4209703131057013;-0.6899509407580908;-0.28812394263122126;0.8118234622723077;-0.13853424451766577;0.4511699774433589
Walker, AL;-1.1288575891425114;-0.10298332425695621;-0.5776859910166767;0.12349795076404081;0.6523609344435237;0.3896716687137122;-0.20630903933154907;-0.2273153386303384;-0.3916297417996157;-0.01810789455986609;-0.4881506714999883;0.6144603659206473;-0.6705085060211454;-1.0476239678069754;-0.6921958018139936;0.5443948000437742
Washington, AL;-0.4705761705807288;-0.1411841108795918;-1.3520897570174508;-0.15071897558804767;0.5633227888400874;-1.1664299149955673;1.0606818299391672;0.7178660495566958;-0.4665972963690896;-0.01810789455986609;-0.5627955141603072;-0.6043332102038877;-0.6705085060211454;-1.138885191369149;-0.28476543906769775;0.12488309834190647
Wilcox, AL;2.1336140566966524;-0.14281705374659304;-1.0733044012571722;-0.036461922941344066;1.053032589658995;-3.5282599867124183;4.2939317531600665;-0.2666978964714648;-0.4665972963690896;-0.12409134446983397;-0.5926534512244347;-2.513104967853471;-0.6965801807977312;-0.9563627442448022;-1.8011997347348108;3.5897390049906663
Winston, AL;-1.7365019755072335;-0.1277912675110019;-0.5467098403766457;0.557674750821515;0.47428464323664793;0.6910510268234149;-0.5732517501039422;-0.18793278078921197;-0.3916297417996157;0.08787555535010179;-0.45829273443586077;0.8562045463089856;-0.6357462729856977;-0.8879168265731722;-1.0769351171301123;1.2280434991134845
Aleutians East, AK;-0.2535603183076137;-0.14973854033282832;-0.6086621416567077;-2.321602975875416;-7.717224752279666;-3.725079159355489;-0.10245732873558872;2.568846268089638;15.014202722227271;0.617792804899941;0.347871566295583;-3.248410183201331;5.143474969157474;-0.4316107087623052;1.0488798634118754;0.03165827574149118
Aleutians West, AK;-0.2535603183076137;-0.14928074596077773;-0.3918290871764909;-2.7786311864622304;-7.8507819706848245;-2.7532844944303263;-0.12322767085478077;1.5186447256595996;11.153373661899366;2.3135280034594268;0.4299808932219338;-2.4274872372992675;3.2663143852433003;-0.853693867737357;2.659692108205245;-0.9005899502626595
Anchorage, AK;-0.2535603183076137;-0.05050634737934531;0.8472169384247477;-1.9788318179353053;-0.5941731040046099;-1.1479781175602795;-0.19938559195848507;0.7703761266781975;2.8319751046877624;2.3135280034594268;-0.017888162739979455;-0.8511137276836495;0.6939091406201746;1.519097944879151;2.5927114978280175;-1.33563912239793
Bethel, AK;-0.2535603183076137;-0.1497414391103415;1.2499068967451505;-2.4358600285221197;-0.727730322409769;-4.500054651637582;-0.5870986448500705;10.44535783631492;-0.12924330080645705;0.19385900526006963;-0.5404020613622116;-3.318918902481263;5.047878828309992;-0.8993244795184437;0.5634595302388957;0.8551442087118245
Bristol Bay, AK;-0.2535603183076137;-0.14891441982668646;-1.2591613050973578;-1.7274663021125574;-2.3749360160733737;-2.335043752563801;-0.6355627764615185;4.144148581734694;-0.09175952352172007;0.19385900526006963;-0.3687189232434781;-1.616636965580052;-0.43586343303187375;0.03610306199383369;2.8814760866061264;-1.5687011788989678
Denali, AK;-0.2535603183076137;-0.14990558443920932;0.568431582664469;-1.9559804074059646;-2.063302506461342;0.22975609094121746;-0.5455579606116863;0.19276527834167678;-0.05427574623698317;-0.01810789455986609;-0.42843479737173323;0.44826124190366534;0.13771341205301244;0.6977469328195909;2.3867272117118516;-0.8850524798292572
Dillingham, AK;-0.2535603183076137;-0.14983605307303638;0.9401453903448406;-2.1159402811113495;-0.8167684680132054;-4.112566905496536;-0.6078689869692624;9.027585754034371;-0.166727078091194;0.08787555535010179;-0.4806861872339564;-3.0066660028129935;2.4667830254280045;-0.13501173218524143;0.9423159814064498;0.24918286180912613
Fairbanks North Star, AK;-0.2535603183076137;-0.14227566016626195;0.7852646371446858;-2.2073459232287127;-1.6626308512458676;-0.4652616124546266;-0.25477317094299723;0.6391009338744428;0.582948467603545;0.29984245517003755;-0.0850685211342664;-0.29208031053561884;0.06818894598211707;1.0399765211777412;2.0035846738074863;-1.2890267110977225
Haines, AK;-0.2535603183076137;-0.1493581462858722;0.9091692397048096;-0.2878274387640919;-0.059944230383982534;-0.24384004323117217;-0.6009455395961985;0.9935439544445808;-0.12924330080645705;-0.12409134446983397;-0.45829273443586077;0.1007539825954304;-0.4271728747730119;1.5419132507696947;0.38352792820922993;-1.5376262380321626
Hoonah-Angoon, AK;-0.2535603183076137;-0.14982746246828102;-0.17499603269627417;-0.37923308088145485;-1.350997341633836;-2.2058811705167853;-0.5940220922231344;4.8267795843142185;-0.24169463266066793;-0.01810789455986609;-0.3239320176472868;-1.4907285382944595;0.4853357424074889;0.6749316269290473;0.27713212803662046;-0.3723159555269741
Juneau, AK;-0.2535603183076137;-0.14317672664922956;1.2499068967451505;-1.658912070524535;-0.4606158855994538;-0.9204059491917285;-0.5317110658655582;1.2429668207717146;1.7824293407151275;0.9357431546298448;-0.1970357851247447;-0.5741151876553459;0.07687950424097896;1.8727351861825732;2.798779824860591;-1.5376262380321626
Kenai Peninsula, AK;-0.2535603183076137;-0.1479848838155142;0.8781930890647787;-0.8362612914682693;-1.0393638320218008;-0.04087027144300544;-0.5732517501039422;0.6784834917155693;-0.016791968952246186;0.19385900526006963;-0.37618340750951;0.21155339860675126;-0.04478831138308784;0.4581862209688856;1.1577968910767267;-1.118114536330295
Ketchikan Gateway, AK;-0.2535603183076137;-0.14839574594327648;0.47550313074437606;-1.2018838599377206;-0.9058066136166448;-1.0434179320936479;-0.5732517501039422;1.5448997642203506;2.269718445416708;0.19385900526006963;-0.2940740805831592;-0.6244785585695829;0.0334267129466694;0.4695938739141574;1.184269779745267;-0.9316648911294645
